municipality_name,Latitude,Longitude
Bolesławiec,51.262169150000005,15.5550197073441
Bolesławiec,51.262169150000005,15.5550197073441
Gromadka,51.361438,15.7569399
Nowogrodziec,51.1971363,15.3987046
Osiecznica,51.3274722,15.4201013
Warta Bolesławiecka,51.2322843,15.6659455
Bielawa,50.6841718,16.6118259
Dzierżoniów,50.7291725,16.656753139456175
Pieszyce,50.7124412,16.581609
Piława Górna,50.68291525,16.751068021685484
Dzierżoniów,50.7291725,16.656753139456175
Łagiewniki,50.4838889,20.7469444
Niemcza,50.7163426,16.8350398
Głogów,51.6636791,16.0935567
Głogów,51.6636791,16.0935567
Jerzmanowa,51.5948009,16.0438976
Kotla,51.7437282,16.0409482
Pęcław,51.64381,16.24071
Żukowice,50.29932075,20.741927062127417
Góra,50.6734966,15.9935576
Jemielno,51.5243026,16.5435477
Niechlów,51.6894359,16.3660355
Wąsosz,53.5219375,22.3194128
Jawor,51.0504653,16.1932008
Bolków,50.9220033,16.100499
Męcinka,51.0734952,16.0950013
Mściwojów,51.0425273,16.270558
Paszowice,51.0143946,16.1615889
Wądroże Wielkie,51.1176908,16.3329035
Karpacz,50.7639983,15.745198107436458
Kowary,50.778678,15.836050856544123
Piechowice,50.8494747,15.5976047
Szklarska Poręba,50.81428365,15.454496657235111
Janowice Wielkie,50.87828,15.9208773
Jeżów Sudecki,50.933694,15.743396
Mysłakowice,50.8365551,15.7871345
Podgórzyn,54.1494798,21.2516799
Stara Kamienica,50.9168596,15.5721391
Kamienna Góra,50.7837361,16.0336631
Kamienna Góra,50.7837361,16.0336631
Lubawka,50.7070882,16.0003894
Marciszów,50.8516702,16.008639
Duszniki-Zdrój,50.37034025,16.378490698224958
Kłodzko,50.43371175,16.642246491692106
Kudowa-Zdrój,50.4420034,16.2416299
Nowa Ruda,50.5791982,16.5014757
Polanica-Zdrój,50.4079276,16.5107431
Bystrzyca Kłodzka,50.2968684,16.652017
Kłodzko,50.43371175,16.642246491692106
Lądek-Zdrój,50.3458254,16.8725948
Lewin Kłodzki,50.4056284,16.2896257
