Kod TERYT,Gmina,Powiat,Województwo,Liczba wyborców uprawnionych do głosowania,Liczba otrzymanych kopert zwrotnych,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,PO,Konfederacja,PSL,PIS,SLD,Inne
20101,m. Bolesławiec,bolesławiecki,dolnośląskie,29895,4,0,18199,210,17989,4308,1109,972,6445.0,3997,1158.0
20102,gm. Bolesławiec,bolesławiecki,dolnośląskie,11171,0,1,6316,93,6223,1197,472,577,2716.0,930,331.0
20103,gm. Gromadka,bolesławiecki,dolnośląskie,4306,0,0,2275,55,2220,287,117,154,1128.0,428,106.0
20104,gm. Nowogrodziec,bolesławiecki,dolnośląskie,11683,0,0,5700,109,5591,878,432,537,2980.0,545,219.0
20105,gm. Osiecznica,bolesławiecki,dolnośląskie,5392,0,0,2693,67,2626,509,183,216,1200.0,410,108.0
20106,gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,6651,0,1,3425,56,3369,624,245,285,1667.0,406,142.0
20201,m. Bielawa,dzierżoniowski,dolnośląskie,23936,0,1,12941,186,12755,3474,725,901,5264.0,1856,535.0
20202,m. Dzierżoniów,dzierżoniowski,dolnośląskie,26022,3,3,15498,157,15341,4638,811,2044,5908.0,1667,273.0
20203,m. Pieszyce,dzierżoniowski,dolnośląskie,7485,0,0,3876,72,3804,1096,225,304,1766.0,318,95.0
20204,m. Piława Górna,dzierżoniowski,dolnośląskie,4963,1,0,2529,32,2497,487,172,290,1250.0,240,58.0
20205,gm. Dzierżoniów,dzierżoniowski,dolnośląskie,7370,0,0,4102,67,4035,809,231,520,2070.0,336,69.0
20206,gm. Łagiewniki,dzierżoniowski,dolnośląskie,5967,1,0,3237,46,3191,620,193,297,1793.0,239,49.0
20207,gm. Niemcza,dzierżoniowski,dolnośląskie,4453,0,0,2248,44,2204,494,116,256,1062.0,241,35.0
20301,m. Głogów,głogowski,dolnośląskie,51453,2,7,31440,256,31184,8615,1608,1346,13285.0,5512,818.0
20302,gm. Głogów,głogowski,dolnośląskie,5237,0,0,3268,60,3208,745,186,231,1550.0,432,64.0
20303,gm. Jerzmanowa,głogowski,dolnośląskie,3853,0,0,2496,45,2451,577,158,166,1056.0,435,59.0
20304,gm. Kotla,głogowski,dolnośląskie,3398,0,0,1717,34,1683,355,77,93,921.0,193,44.0
20305,gm. Pęcław,głogowski,dolnośląskie,1732,0,0,868,22,846,102,39,131,525.0,42,7.0
20306,gm. Żukowice,głogowski,dolnośląskie,2681,0,0,1404,35,1369,263,86,99,704.0,185,32.0
20401,gm. Góra,górowski,dolnośląskie,15265,1,1,7868,98,7770,2076,446,567,3433.0,920,328.0
20402,gm. Jemielno,górowski,dolnośląskie,2405,0,0,1148,25,1123,177,57,110,650.0,106,23.0
20403,gm. Niechlów,górowski,dolnośląskie,3771,0,0,1824,30,1794,258,97,147,1105.0,140,47.0
20404,gm. Wąsosz,górowski,dolnośląskie,5735,0,0,2855,64,2791,533,149,266,1393.0,352,98.0
20501,m. Jawor,jaworski,dolnośląskie,18180,2,9,10514,118,10396,2643,583,803,4779.0,1385,203.0
20502,gm. Bolków,jaworski,dolnośląskie,8204,0,0,4100,109,3991,700,206,448,1805.0,770,62.0
20503,gm. Męcinka,jaworski,dolnośląskie,3942,0,0,2169,24,2145,347,116,211,1230.0,213,28.0
20504,gm. Mściwojów,jaworski,dolnośląskie,3204,0,0,1752,27,1725,344,93,241,832.0,181,34.0
20505,gm. Paszowice,jaworski,dolnośląskie,3190,0,0,1693,31,1662,295,94,197,866.0,184,26.0
20506,gm. Wądroże Wielkie,jaworski,dolnośląskie,3204,0,1,1713,32,1681,294,72,308,852.0,132,23.0
20601,m. Karpacz,jeleniogórski,dolnośląskie,5048,0,1,3403,29,3374,1418,185,244,786.0,686,55.0
20602,m. Kowary,jeleniogórski,dolnośląskie,8374,1,0,4544,66,4478,1422,271,384,1456.0,865,80.0
20603,m. Piechowice,jeleniogórski,dolnośląskie,5011,0,0,2944,41,2903,956,192,195,939.0,576,45.0
20604,m. Szklarska Poręba,jeleniogórski,dolnośląskie,5921,0,0,3833,43,3790,1465,193,219,1086.0,754,73.0
20605,gm. Janowice Wielkie,jeleniogórski,dolnośląskie,3393,0,0,1914,38,1876,573,114,135,650.0,375,29.0
20606,gm. Jeżów Sudecki,jeleniogórski,dolnośląskie,5752,0,0,3433,33,3400,1095,195,304,1018.0,729,59.0
