,Unnamed: 0,county_code,population_density,urbanization_rate,population_per_pharmacy,installations_watersupply,installations_toilet,installations_bathroom,installations_central_heating,installations_network_gas,appartment_area_per_person,appartments_per_1000_persons,persons_per_appartment,persons_per_room,persons_per_library,library_books_per_1000_persons,library_readers_per_1000_persons,library_loans_per_reader,forests_area,unemployed_f,unemployed_m,unemployment_rate,bicycle_paths_per_100km2,bicycle_paths_per_10k_persons,revenues_per_capita,revenues_per_capita_PIT,revenues_per_capita_CIT,expenditures_per_capita,investment_expenditures_per_capita,children_3_5_in_kindergartens,net_scholarization,marriages_per_1000_persons,birthrate_per_1000_persons,net_migrations_per_1000_persons,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons,type_of_municipality,PO_percent,Konfederacja_percent,PSL_percent,PIS_percent,SLD_percent,percent_vaccinated_01,percent_vaccinated_01_r,population_total_f_ratio_total,frekwencja_wyborcza,population_density_log,population_density_sqrt,healthcare_advices_ratio_total,forests_area_ratio_area_km2,population_0_4_total_percent,population_5_9_total_percent,population_10_14_total_percent,population_15_19_total_percent,population_20_24_total_percent,population_25_29_total_percent,population_30_34_total_percent,population_35_39_total_percent,population_40_44_total_percent,population_45_49_total_percent,population_50_54_total_percent,population_55_59_total_percent,population_60_64_total_percent,population_65_69_total_percent,population_70_74_total_percent,population_75_79_total_percent,population_80_84_total_percent,unemployed_over_50_ratio_population_50_60
0,0,201000,1597.8,100.0,2092,98.5,98.0,97.5,87.1,90.6,28.7,444.9,2.25,0.64,18830,2959,143,11.3,75.18,409.0,352.0,3.6,157.4,9.85,5312.66,1067.74,56.58,4962.55,142.34,1117.0,113.11,3.2,-6.04,-5.3,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,1,0.2394796820279059,0.0616487853688365,0.0540330201789982,0.3582745010839958,0.2221913391517038,0.569,0.277772344022583,0.5323826973631801,0.6087640073590902,7.376382962047941,39.97249054037039,5.374359382883242,3.1325000000000003,0.0420882126450516,0.0441328766032024,0.0464961894898961,0.039778007913115,0.0409994954725298,0.0538251148463846,0.072519185320906,0.0816272338617594,0.0812023686237021,0.0717491170769271,0.0546482912451206,0.0586579569292864,0.0810164900820521,0.0812289227010807,0.0640484346371385,0.0323959744018694,0.0279614434796463,0.0438247011952191
1,1,201000,51.9,0.0,14967,97.8,97.2,95.3,83.2,28.8,36.3,305.9,3.27,0.64,2495,4849,119,12.2,230.52,149.0,137.0,3.1,3.95,7.62,5396.32,926.6,11.74,4859.22,895.71,581.0,68.29,3.2,-0.6,12.5,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,2,0.1923509561304837,0.0758476618994054,0.0927205527880443,0.4364454443194601,0.149445605013659,0.477,-0.0920649731765814,0.50070154339547,0.565392534240444,3.949318790171843,7.20416546173115,0.9041224026190954,0.7976470588235295,0.0575933720852542,0.0559898443241798,0.0620030734282087,0.0506447517872653,0.0537849936527026,0.0624039553684773,0.0755662457406293,0.0813122202178125,0.0836506982027126,0.0779715373822409,0.0648092470100888,0.0658114518607603,0.068083116188949,0.05879601790606,0.0374824614151132,0.0175051780583951,0.0152335137302064,0.0368286445012787
2,2,201000,19.3,0.0,5156,96.1,93.6,91.8,79.1,0.2,30.9,345.8,2.89,0.64,5156,2921,37,12.6,204.0,73.0,46.0,3.8,0.0,0.0,8219.43,690.41,162.36,6318.14,1196.25,662.0,89.37,2.1,-3.48,-1.4,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,2,0.1292792792792793,0.0527027027027027,0.0693693693693693,0.5081081081081081,0.1927927927927928,0.495,-0.0200006667066695,0.5036850271528317,0.5283325592196935,2.96010509591084,4.39317652729776,2.176299456943367,0.7611940298507462,0.0459658650116369,0.0496508921644685,0.0525601241272304,0.0446082234290147,0.0574088440651667,0.0653607447633824,0.0723429014740108,0.0766097750193948,0.0781613653995345,0.075833979829325,0.05411171450737,0.0705973622963537,0.0762218774243599,0.0698215671062839,0.0457719162141194,0.0221101629169899,0.0221101629169899,0.0419906687402799
3,3,201000,84.2,28.1,3713,96.8,95.9,94.4,77.3,14.2,28.0,305.5,3.27,0.69,2970,2939,48,8.3,251.0,192.0,150.0,3.7,0.0,0.0,5067.58,644.43,30.53,4972.4,379.0,615.0,84.88,4.1,-0.67,0.5,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,3,0.1570380969415131,0.0772670363083527,0.0960472187444106,0.532999463423359,0.0974780897871579,0.475,-0.1000834585569826,0.5008079719903044,0.4878883848326628,4.4331949212482815,9.17605579756357,3.178763802854834,1.4261363636363635,0.0550094263398868,0.0551440883382709,0.0587126312954484,0.0512388903851333,0.0568946943172636,0.0637624562348505,0.0776999730676003,0.0859816859682197,0.0816725020199299,0.0675329921896041,0.0594532722865607,0.0686102881766765,0.0729868031241583,0.0564907083221115,0.0351467815782386,0.0208052787503366,0.016967411796391,0.0431125131440588
4,4,201000,16.8,0.0,7358,96.0,95.7,93.9,71.6,4.1,30.8,397.0,2.52,0.62,1226,6674,167,7.8,43.13,93.0,82.0,3.8,0.0,0.0,6377.16,786.19,27.93,4837.36,282.14,762.0,100.15,4.8,-2.15,1.7,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,2,0.1938309215536938,0.0696877380045696,0.0822543792840822,0.456968773800457,0.1561309977151561,0.522,0.0880568553911828,0.4967382440880674,0.4994436201780415,2.8213788864092133,4.09878030638384,5.233487360695841,0.098695652173913,0.0539548790432182,0.052867627072574,0.0636042402826855,0.0562652894808371,0.0547703180212014,0.0682250611579233,0.08032073933134,0.086028812177222,0.0830388692579505,0.0778744223973905,0.0573525414514813,0.0592552324001087,0.0638760532753465,0.0578961674368034,0.0368306605055721,0.0160369665670019,0.0159010600706713,0.0477855477855477
5,5,201000,77.3,0.0,8532,84.6,83.7,82.5,77.8,21.0,33.3,411.5,2.43,0.6,2133,5536,84,16.2,144.23,113.0,89.0,3.9,7.7,9.96,5173.3,697.88,1.5,5167.64,379.04,666.0,87.93,2.6,-4.08,0.9,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,2,0.1852181656277827,0.0727218759275749,0.0845948352626892,0.4948055802908875,0.1205105372514099,0.53,0.1201443118420634,0.5069151429910923,0.5149601563674635,4.3476939555933765,8.792041856133306,3.466596343178621,1.311181818181818,0.0474683544303797,0.0549695264885138,0.0625879043600562,0.0528598218471636,0.0494608532583216,0.0552039381153305,0.0765353961556493,0.0893108298171589,0.0811064228785747,0.0761837787154242,0.0588373183309892,0.0628223159868729,0.0788795124238162,0.0652836380684482,0.0386779184247538,0.0191045475855602,0.0154711673699015,0.0404624277456647
6,6,202000,800.1,100.0,2897,97.4,90.8,88.8,77.9,95.9,25.3,435.7,2.3,0.68,28973,2452,107,19.3,18.08,216.0,221.0,2.6,51.37,6.42,5355.0,779.72,22.15,5420.62,737.41,901.0,93.75,2.6,-9.67,-2.3,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,1,0.2723637789102313,0.0568404547236377,0.0706389651117209,0.4127009016072128,0.1455115640925127,0.512,0.0480092191863606,0.5335657336140545,0.5406500668449198,6.684736719856078,28.286038959175603,4.732647637455562,0.5022222222222221,0.0377938080281641,0.0411417526662755,0.0466641355745003,0.0392089186483967,0.0399682462982777,0.053014875918959,0.0663031097918751,0.0842508542436061,0.0832499223414903,0.0706174714389259,0.0602284885928278,0.0654747523556414,0.0836641010596072,0.0857349946501915,0.0595036758361232,0.0256445656300693,0.0267490422117143,0.0444810543657331
7,7,202000,1594.3,100.0,2133,98.6,94.6,92.8,82.6,94.0,26.6,451.7,2.21,0.66,15999,2870,150,29.4,46.66,358.0,329.0,3.8,118.09,7.41,4962.43,951.22,84.11,4629.13,572.31,970.0,100.6,2.8,-8.57,-0.3,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,1,0.3023270973209048,0.0528648719118701,0.1332377289616061,0.3851117919301219,0.1086630597744606,0.5529999999999999,0.2127994069087656,0.5343313435634591,0.5955729767120129,7.37419004741332,39.92868642968361,7.412038628621433,0.5653991620933243,0.0376910335343938,0.0421289495890239,0.0445666781260743,0.0381285745538644,0.0384723567834484,0.0508797699784354,0.0641310122824014,0.0831952995593336,0.0814451354814513,0.070850392224271,0.0585992436790949,0.0638184829827796,0.0840703815982748,0.0836953464387286,0.0649435884614182,0.033471887989499,0.0313154358221083,0.0556548378861373
8,8,202000,143.2,76.4,2277,94.9,85.7,81.2,65.4,80.2,27.1,376.0,2.66,0.72,4554,4474,112,18.9,62.71,110.0,95.0,3.8,10.69,7.47,4428.37,775.31,23.74,4208.05,490.37,844.0,83.91,2.7,-4.9,-3.0,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,3,0.288117770767613,0.0591482649842271,0.0799158780231335,0.464248159831756,0.083596214511041,0.457,-0.1724259290397305,0.518282639727682,0.5178356713426854,4.964242254526545,11.966620241321271,5.1133194246184255,0.97984375,0.0460085648402327,0.048424289008455,0.0483144833644449,0.045239925332162,0.0500713736686065,0.0517184583287581,0.0663226089821016,0.0787306467552432,0.0897112111562534,0.0784012298232129,0.05380476556495,0.0679696936422532,0.0782914241792028,0.0774129790271219,0.0494125398045459,0.0238278247501921,0.0221807400900406,0.0595130748422001
9,9,202000,292.8,100.0,3065,98.5,89.8,87.4,74.5,93.3,24.8,387.2,2.58,0.73,6129,3746,71,15.5,1.42,82.0,86.0,4.6,3.82,1.31,5379.73,570.37,110.9,4313.33,309.76,714.0,87.62,3.3,-8.95,0.3,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,1,0.1950340408490188,0.0688826591910292,0.1161393672406888,0.500600720865038,0.0961153384060873,0.467,-0.132192166496947,0.520476423560124,0.5095708240983277,5.679489782087156,17.11139970896595,3.1581008321096427,0.0676190476190476,0.040952847120248,0.0478055147658671,0.0531897536302822,0.0448686572034589,0.0522108011094795,0.0654266601403165,0.0696687877304617,0.0828846467612987,0.0815793767335617,0.0662424539076521,0.0584108337412302,0.0628161200848425,0.0913689019415891,0.0672214064284548,0.0422581171479849,0.0203948441833904,0.0261054005547397,0.0780619111709286
